Parcel_ID,Parcel_Number,Ring,Sector,Full_Address,X_Coordinate_Feet,Y_Coordinate_Feet,Latitude,Longitude,Inner_Radius,Outer_Radius
BRC-0057,57,Esplanade,3:52,"3:52 & Esplanade",-558,1119,40.789473,-119.208435,0,2500
BRC-0058,58,Esplanade,3:54,"3:54 & Esplanade",-577,1109,40.789446,-119.208503,0,2500
BRC-0059,59,Esplanade,3:56,"3:56 & Esplanade",-596,1099,40.789418,-119.208570,0,2500
BRC-0060,60,Esplanade,3:58,"3:58 & Esplanade",-616,1088,40.789389,-119.208636,0,2500
BRC-0061,61,Esplanade,4:00,"4:00 & Esplanade",-634,1077,40.789359,-119.208701,0,2500
BRC-0062,62,Esplanade,4:02,"4:02 & Esplanade",-653,1066,40.789328,-119.208766,0,2500
BRC-0063,63,Esplanade,4:04,"4:04 & Esplanade",-672,1054,40.789296,-119.208830,0,2500
BRC-0064,64,Esplanade,4:06,"4:06 & Esplanade",-690,1042,40.789264,-119.208894,0,2500
BRC-0065,65,Esplanade,4:08,"4:08 & Esplanade",-708,1030,40.789230,-119.208957,0,2500
BRC-0066,66,Esplanade,4:10,"4:10 & Esplanade",-726,1018,40.789196,-119.209019,0,2500
BRC-0067,67,Esplanade,4:12,"4:12 & Esplanade",-744,1005,40.789160,-119.209080,0,2500
BRC-0068,68,Esplanade,4:14,"4:14 & Esplanade",-761,992,40.789124,-119.209140,0,2500
BRC-0069,69,Esplanade,4:16,"4:16 & Esplanade",-778,978,40.789088,-119.209200,0,2500
BRC-0070,70,Esplanade,4:18,"4:18 & Esplanade",-795,965,40.789050,-119.209259,0,2500
BRC-0071,71,Esplanade,4:20,"4:20 & Esplanade",-812,951,40.789011,-119.209317,0,2500
BRC-0072,72,Esplanade,4:22,"4:22 & Esplanade",-828,936,40.788972,-119.209374,0,2500
BRC-0073,73,Esplanade,4:24,"4:24 & Esplanade",-844,922,40.788932,-119.209430,0,2500
BRC-0074,74,Esplanade,4:26,"4:26 & Esplanade",-860,907,40.788891,-119.209486,0,2500
BRC-0075,75,Esplanade,4:28,"4:28 & Esplanade",-876,892,40.788849,-119.209540,0,2500
BRC-0076,76,Esplanade,4:30,"4:30 & Esplanade",-892,876,40.788807,-119.209594,0,2500
BRC-0077,77,Esplanade,4:32,"4:32 & Esplanade",-907,860,40.788764,-119.209646,0,2500
BRC-0078,78,Esplanade,4:34,"4:34 & Esplanade",-922,844,40.788720,-119.209698,0,2500
BRC-0079,79,Esplanade,4:36,"4:36 & Esplanade",-936,828,40.788675,-119.209748,0,2500
BRC-0080,80,Esplanade,4:38,"4:38 & Esplanade",-951,812,40.788630,-119.209798,0,2500
BRC-0081,81,Esplanade,4:40,"4:40 & Esplanade",-965,795,40.788584,-119.209847,0,2500
BRC-0082,82,Esplanade,4:42,"4:42 & Esplanade",-978,778,40.788538,-119.209894,0,2500
BRC-0083,83,Esplanade,4:44,"4:44 & Esplanade",-992,761,40.788491,-119.209941,0,2500
BRC-0084,84,Esplanade,4:46,"4:46 & Esplanade",-1005,744,40.788443,-119.209987,0,2500
BRC-0085,85,Esplanade,4:48,"4:48 & Esplanade",-1018,726,40.788394,-119.210031,0,2500
BRC-0086,86,Esplanade,4:50,"4:50 & Esplanade",-1030,708,40.788345,-119.210074,0,2500
BRC-0087,87,Esplanade,4:52,"4:52 & Esplanade",-1042,690,40.788295,-119.210117,0,2500
BRC-0088,88,Esplanade,4:54,"4:54 & Esplanade",-1054,672,40.788245,-119.210158,0,2500
BRC-0089,89,Esplanade,4:56,"4:56 & Esplanade",-1066,653,40.788194,-119.210198,0,2500
BRC-0090,90,Esplanade,4:58,"4:58 & Esplanade",-1077,634,40.788143,-119.210237,0,2500
BRC-0091,91,Esplanade,5:00,"5:00 & Esplanade",-1088,616,40.788091,-119.210275,0,2500
BRC-0092,92,Esplanade,5:02,"5:02 & Esplanade",-1099,596,40.788039,-119.210312,0,2500
BRC-0093,93,Esplanade,5:04,"5:04 & Esplanade",-1109,577,40.787986,-119.210347,0,2500
BRC-0094,94,Esplanade,5:06,"5:06 & Esplanade",-1119,558,40.787932,-119.210382,0,2500
BRC-0095,95,Esplanade,5:08,"5:08 & Esplanade",-1128,538,40.787878,-119.210415,0,2500
BRC-0096,96,Esplanade,5:10,"5:10 & Esplanade",-1137,518,40.787824,-119.210447,0,2500
BRC-0097,97,Esplanade,5:12,"5:12 & Esplanade",-1146,498,40.787769,-119.210478,0,2500
BRC-0098,98,Esplanade,5:14,"5:14 & Esplanade",-1155,478,40.787714,-119.210507,0,2500
BRC-0099,99,Esplanade,5:16,"5:16 & Esplanade",-1163,458,40.787659,-119.210535,0,2500
BRC-0100,100,Esplanade,5:18,"5:18 & Esplanade",-1171,438,40.787603,-119.210563,0,2500
BRC-0101,101,Esplanade,5:20,"5:20 & Esplanade",-1178,417,40.787546,-119.210588,0,2500
BRC-0102,102,Esplanade,5:22,"5:22 & Esplanade",-1185,397,40.787490,-119.210613,0,2500
BRC-0103,103,Esplanade,5:24,"5:24 & Esplanade",-1192,376,40.787433,-119.210637,0,2500
BRC-0104,104,Esplanade,5:26,"5:26 & Esplanade",-1199,355,40.787375,-119.210659,0,2500
BRC-0105,105,Esplanade,5:28,"5:28 & Esplanade",-1205,334,40.787318,-119.210680,0,2500
BRC-0106,106,Esplanade,5:30,"5:30 & Esplanade",-1210,313,40.787260,-119.210699,0,2500
BRC-0107,107,Esplanade,5:32,"5:32 & Esplanade",-1215,292,40.787202,-119.210717,0,2500
BRC-0108,108,Esplanade,5:34,"5:34 & Esplanade",-1220,271,40.787143,-119.210734,0,2500
BRC-0109,109,Esplanade,5:36,"5:36 & Esplanade",-1225,249,40.787085,-119.210750,0,2500
BRC-0110,110,Esplanade,5:38,"5:38 & Esplanade",-1229,228,40.787026,-119.210765,0,2500
BRC-0111,111,Esplanade,5:40,"5:40 & Esplanade",-1233,206,40.786967,-119.210778,0,2500
BRC-0112,112,Esplanade,5:42,"5:42 & Esplanade",-1236,185,40.786908,-119.210790,0,2500
BRC-0113,113,Esplanade,5:44,"5:44 & Esplanade",-1239,163,40.786848,-119.210800,0,2500
BRC-0114,114,Esplanade,5:46,"5:46 & Esplanade",-1242,142,40.786789,-119.210809,0,2500
BRC-0115,115,Esplanade,5:48,"5:48 & Esplanade",-1244,120,40.786729,-119.210817,0,2500
BRC-0116,116,Esplanade,5:50,"5:50 & Esplanade",-1246,98,40.786669,-119.210824,0,2500
BRC-0117,117,Esplanade,5:52,"5:52 & Esplanade",-1248,76,40.786610,-119.210829,0,2500
BRC-0118,118,Esplanade,5:54,"5:54 & Esplanade",-1249,55,40.786550,-119.210833,0,2500
BRC-0119,119,Esplanade,5:56,"5:56 & Esplanade",-1250,33,40.786490,-119.210836,0,2500
BRC-0120,120,Esplanade,5:58,"5:58 & Esplanade",-1250,11,40.786430,-119.210837,0,2500
BRC-0121,121,Esplanade,6:00,"6:00 & Esplanade",-1250,-11,40.786370,-119.210837,0,2500
BRC-0122,122,Esplanade,6:02,"6:02 & Esplanade",-1250,-33,40.786310,-119.210836,0,2500
BRC-0123,123,Esplanade,6:04,"6:04 & Esplanade",-1249,-55,40.786250,-119.210833,0,2500
BRC-0124,124,Esplanade,6:06,"6:06 & Esplanade",-1248,-76,40.786190,-119.210829,0,2500
BRC-0125,125,Esplanade,6:08,"6:08 & Esplanade",-1246,-98,40.786131,-119.210824,0,2500
BRC-0126,126,Esplanade,6:10,"6:10 & Esplanade",-1244,-120,40.786071,-119.210817,0,2500
BRC-0127,127,Esplanade,6:12,"6:12 & Esplanade",-1242,-142,40.786011,-119.210809,0,2500
BRC-0128,128,Esplanade,6:14,"6:14 & Esplanade",-1239,-163,40.785952,-119.210800,0,2500
BRC-0129,129,Esplanade,6:16,"6:16 & Esplanade",-1236,-185,40.785892,-119.210790,0,2500
BRC-0130,130,Esplanade,6:18,"6:18 & Esplanade",-1233,-206,40.785833,-119.210778,0,2500
BRC-0131,131,Esplanade,6:20,"6:20 & Esplanade",-1229,-228,40.785774,-119.210765,0,2500
BRC-0132,132,Esplanade,6:22,"6:22 & Esplanade",-1225,-249,40.785715,-119.210750,0,2500
BRC-0133,133,Esplanade,6:24,"6:24 & Esplanade",-1220,-271,40.785657,-119.210734,0,2500
BRC-0134,134,Esplanade,6:26,"6:26 & Esplanade",-1215,-292,40.785598,-119.210717,0,2500
BRC-0135,135,Esplanade,6:28,"6:28 & Esplanade",-1210,-313,40.785540,-119.210699,0,2500
BRC-0136,136,Esplanade,6:30,"6:30 & Esplanade",-1205,-334,40.785482,-119.210680,0,2500
BRC-0137,137,Esplanade,6:32,"6:32 & Esplanade",-1199,-355,40.785425,-119.210659,0,2500
BRC-0138,138,Esplanade,6:34,"6:34 & Esplanade",-1192,-376,40.785367,-119.210637,0,2500
BRC-0139,139,Esplanade,6:36,"6:36 & Esplanade",-1185,-397,40.785310,-119.210613,0,2500
BRC-0140,140,Esplanade,6:38,"6:38 & Esplanade",-1178,-417,40.785254,-119.210588,0,2500
BRC-0141,141,Esplanade,6:40,"6:40 & Esplanade",-1171,-438,40.785197,-119.210563,0,2500
BRC-0142,142,Esplanade,6:42,"6:42 & Esplanade",-1163,-458,40.785141,-119.210535,0,2500
BRC-0143,143,Esplanade,6:44,"6:44 & Esplanade",-1155,-478,40.785086,-119.210507,0,2500
BRC-0144,144,Esplanade,6:46,"6:46 & Esplanade",-1146,-498,40.785031,-119.210478,0,2500
BRC-0145,145,Esplanade,6:48,"6:48 & Esplanade",-1137,-518,40.784976,-119.210447,0,2500
BRC-0146,146,Esplanade,6:50,"6:50 & Esplanade",-1128,-538,40.784922,-119.210415,0,2500
BRC-0147,147,Esplanade,6:52,"6:52 & Esplanade",-1119,-558,40.784868,-119.210382,0,2500
BRC-0148,148,Esplanade,6:54,"6:54 & Esplanade",-1109,-577,40.784814,-119.210347,0,2500
BRC-0149,149,Esplanade,6:56,"6:56 & Esplanade",-1099,-596,40.784761,-119.210312,0,2500
BRC-0150,150,Esplanade,6:58,"6:58 & Esplanade",-1088,-616,40.784709,-119.210275,0,2500
BRC-0151,151,Esplanade,7:00,"7:00 & Esplanade",-1077,-634,40.784657,-119.210237,0,2500
BRC-0152,152,Esplanade,7:02,"7:02 & Esplanade",-1066,-653,40.784606,-119.210198,0,2500
BRC-0153,153,Esplanade,7:04,"7:04 & Esplanade",-1054,-672,40.784555,-119.210158,0,2500
BRC-0154,154,Esplanade,7:06,"7:06 & Esplanade",-1042,-690,40.784505,-119.210117,0,2500
BRC-0155,155,Esplanade,7:08,"7:08 & Esplanade",-1030,-708,40.784455,-119.210074,0,2500
BRC-0156,156,Esplanade,7:10,"7:10 & Esplanade",-1018,-726,40.784406,-119.210031,0,2500
BRC-0157,157,Esplanade,7:12,"7:12 & Esplanade",-1005,-744,40.784357,-119.209987,0,2500
BRC-0158,158,Esplanade,7:14,"7:14 & Esplanade",-992,-761,40.784309,-119.209941,0,2500
BRC-0159,159,Esplanade,7:16,"7:16 & Esplanade",-978,-778,40.784262,-119.209894,0,2500
BRC-0160,160,Esplanade,7:18,"7:18 & Esplanade",-965,-795,40.784216,-119.209847,0,2500
BRC-0161,161,Esplanade,7:20,"7:20 & Esplanade",-951,-812,40.784170,-119.209798,0,2500
BRC-0162,162,Esplanade,7:22,"7:22 & Esplanade",-936,-828,40.784125,-119.209748,0,2500
BRC-0163,163,Esplanade,7:24,"7:24 & Esplanade",-922,-844,40.784080,-119.209698,0,2500
BRC-0164,164,Esplanade,7:26,"7:26 & Esplanade",-907,-860,40.784036,-119.209646,0,2500
BRC-0165,165,Esplanade,7:28,"7:28 & Esplanade",-892,-876,40.783993,-119.209594,0,2500
BRC-0166,166,Esplanade,7:30,"7:30 & Esplanade",-876,-892,40.783951,-119.209540,0,2500
BRC-0167,167,Esplanade,7:32,"7:32 & Esplanade",-860,-907,40.783909,-119.209486,0,2500
BRC-0168,168,Esplanade,7:34,"7:34 & Esplanade",-844,-922,40.783868,-119.209430,0,2500
BRC-0169,169,Esplanade,7:36,"7:36 & Esplanade",-828,-936,40.783828,-119.209374,0,2500
BRC-0170,170,Esplanade,7:38,"7:38 & Esplanade",-812,-951,40.783789,-119.209317,0,2500
BRC-0171,171,Esplanade,7:40,"7:40 & Esplanade",-795,-965,40.783750,-119.209259,0,2500
BRC-0172,172,Esplanade,7:42,"7:42 & Esplanade",-778,-978,40.783712,-119.209200,0,2500
BRC-0173,173,Esplanade,7:44,"7:44 & Esplanade",-761,-992,40.783676,-119.209140,0,2500
BRC-0174,174,Esplanade,7:46,"7:46 & Esplanade",-744,-1005,40.783640,-119.209080,0,2500
BRC-0175,175,Esplanade,7:48,"7:48 & Esplanade",-726,-1018,40.783604,-119.209019,0,2500
BRC-0176,176,Esplanade,7:50,"7:50 & Esplanade",-708,-1030,40.783570,-119.208957,0,2500
BRC-0177,177,Esplanade,7:52,"7:52 & Esplanade",-690,-1042,40.783536,-119.208894,0,2500
BRC-0178,178,Esplanade,7:54,"7:54 & Esplanade",-672,-1054,40.783504,-119.208830,0,2500
BRC-0179,179,Esplanade,7:56,"7:56 & Esplanade",-653,-1066,40.783472,-119.208766,0,2500
BRC-0180,180,Esplanade,7:58,"7:58 & Esplanade",-634,-1077,40.783441,-119.208701,0,2500
BRC-0181,181,Esplanade,8:00,"8:00 & Esplanade",-616,-1088,40.783411,-119.208636,0,2500
BRC-0182,182,Esplanade,8:02,"8:02 & Esplanade",-596,-1099,40.783382,-119.208570,0,2500
BRC-0183,183,Esplanade,8:04,"8:04 & Esplanade",-577,-1109,40.783354,-119.208503,0,2500
BRC-0184,184,Esplanade,8:06,"8:06 & Esplanade",-558,-1119,40.783327,-119.208435,0,2500
BRC-0185,185,Esplanade,8:08,"8:08 & Esplanade",-538,-1128,40.783300,-119.208367,0,2500
BRC-0186,186,Esplanade,8:10,"8:10 & Esplanade",-518,-1137,40.783275,-119.208299,0,2500
BRC-0187,187,Esplanade,8:12,"8:12 & Esplanade",-498,-1146,40.783251,-119.208229,0,2500
BRC-0188,188,Esplanade,8:14,"8:14 & Esplanade",-478,-1155,40.783227,-119.208160,0,2500
BRC-0189,189,Esplanade,8:16,"8:16 & Esplanade",-458,-1163,40.783205,-119.208090,0,2500
BRC-0190,190,Esplanade,8:18,"8:18 & Esplanade",-438,-1171,40.783183,-119.208019,0,2500
BRC-0191,191,Esplanade,8:20,"8:20 & Esplanade",-417,-1178,40.783163,-119.207948,0,2500
BRC-0192,192,Esplanade,8:22,"8:22 & Esplanade",-397,-1185,40.783143,-119.207876,0,2500
BRC-0193,193,Esplanade,8:24,"8:24 & Esplanade",-376,-1192,40.783125,-119.207804,0,2500
BRC-0194,194,Esplanade,8:26,"8:26 & Esplanade",-355,-1199,40.783107,-119.207732,0,2500
BRC-0195,195,Esplanade,8:28,"8:28 & Esplanade",-334,-1205,40.783091,-119.207659,0,2500
BRC-0196,196,Esplanade,8:30,"8:30 & Esplanade",-313,-1210,40.783075,-119.207586,0,2500
BRC-0197,197,Esplanade,8:32,"8:32 & Esplanade",-292,-1215,40.783061,-119.207513,0,2500
BRC-0198,198,Esplanade,8:34,"8:34 & Esplanade",-271,-1220,40.783047,-119.207439,0,2500
BRC-0199,199,Esplanade,8:36,"8:36 & Esplanade",-249,-1225,40.783035,-119.207365,0,2500
BRC-0200,200,Esplanade,8:38,"8:38 & Esplanade",-228,-1229,40.783023,-119.207290,0,2500
BRC-0201,201,Esplanade,8:40,"8:40 & Esplanade",-206,-1233,40.783013,-119.207216,0,2500
BRC-0202,202,Esplanade,8:42,"8:42 & Esplanade",-185,-1236,40.783004,-119.207141,0,2500
BRC-0203,203,Esplanade,8:44,"8:44 & Esplanade",-163,-1239,40.782995,-119.207066,0,2500
BRC-0204,204,Esplanade,8:46,"8:46 & Esplanade",-142,-1242,40.782988,-119.206991,0,2500
BRC-0205,205,Esplanade,8:48,"8:48 & Esplanade",-120,-1244,40.782982,-119.206916,0,2500
BRC-0206,206,Esplanade,8:50,"8:50 & Esplanade",-98,-1246,40.782977,-119.206840,0,2500
BRC-0207,207,Esplanade,8:52,"8:52 & Esplanade",-76,-1248,40.782972,-119.206765,0,2500
BRC-0208,208,Esplanade,8:54,"8:54 & Esplanade",-55,-1249,40.782969,-119.206689,0,2500
BRC-0209,209,Esplanade,8:56,"8:56 & Esplanade",-33,-1250,40.782967,-119.206614,0,2500
BRC-0210,210,Esplanade,8:58,"8:58 & Esplanade",-11,-1250,40.782966,-119.206538,0,2500
BRC-0211,211,Esplanade,9:00,"9:00 & Esplanade",11,-1250,40.782966,-119.206462,0,2500
BRC-0212,212,Esplanade,9:02,"9:02 & Esplanade",33,-1250,40.782967,-119.206386,0,2500
BRC-0213,213,Esplanade,9:04,"9:04 & Esplanade",55,-1249,40.782969,-119.206311,0,2500
BRC-0214,214,Esplanade,9:06,"9:06 & Esplanade",76,-1248,40.782972,-119.206235,0,2500
BRC-0215,215,Esplanade,9:08,"9:08 & Esplanade",98,-1246,40.782977,-119.206160,0,2500
BRC-0216,216,Esplanade,9:10,"9:10 & Esplanade",120,-1244,40.782982,-119.206084,0,2500
BRC-0217,217,Esplanade,9:12,"9:12 & Esplanade",142,-1242,40.782988,-119.206009,0,2500
BRC-0218,218,Esplanade,9:14,"9:14 & Esplanade",163,-1239,40.782995,-119.205934,0,2500
BRC-0219,219,Esplanade,9:16,"9:16 & Esplanade",185,-1236,40.783004,-119.205859,0,2500
BRC-0220,220,Esplanade,9:18,"9:18 & Esplanade",206,-1233,40.783013,-119.205784,0,2500
BRC-0221,221,Esplanade,9:20,"9:20 & Esplanade",228,-1229,40.783023,-119.205710,0,2500
BRC-0222,222,Esplanade,9:22,"9:22 & Esplanade",249,-1225,40.783035,-119.205635,0,2500
BRC-0223,223,Esplanade,9:24,"9:24 & Esplanade",271,-1220,40.783047,-119.205561,0,2500
BRC-0224,224,Esplanade,9:26,"9:26 & Esplanade",292,-1215,40.783061,-119.205487,0,2500
BRC-0225,225,Esplanade,9:28,"9:28 & Esplanade",313,-1210,40.783075,-119.205414,0,2500
BRC-0226,226,Esplanade,9:30,"9:30 & Esplanade",334,-1205,40.783091,-119.205341,0,2500
BRC-0227,227,Esplanade,9:32,"9:32 & Esplanade",355,-1199,40.783107,-119.205268,0,2500
BRC-0228,228,Esplanade,9:34,"9:34 & Esplanade",376,-1192,40.783125,-119.205196,0,2500
BRC-0229,229,Esplanade,9:36,"9:36 & Esplanade",397,-1185,40.783143,-119.205124,0,2500
BRC-0230,230,Esplanade,9:38,"9:38 & Esplanade",417,-1178,40.783163,-119.205052,0,2500
BRC-0231,231,Esplanade,9:40,"9:40 & Esplanade",438,-1171,40.783183,-119.204981,0,2500
BRC-0232,232,Esplanade,9:42,"9:42 & Esplanade",458,-1163,40.783205,-119.204910,0,2500
BRC-0233,233,Esplanade,9:44,"9:44 & Esplanade",478,-1155,40.783227,-119.204840,0,2500
BRC-0234,234,Esplanade,9:46,"9:46 & Esplanade",498,-1146,40.783251,-119.204771,0,2500
BRC-0235,235,Esplanade,9:48,"9:48 & Esplanade",518,-1137,40.783275,-119.204701,0,2500
BRC-0236,236,Esplanade,9:50,"9:50 & Esplanade",538,-1128,40.783300,-119.204633,0,2500
BRC-0237,237,Esplanade,9:52,"9:52 & Esplanade",558,-1119,40.783327,-119.204565,0,2500
BRC-0238,238,Esplanade,9:54,"9:54 & Esplanade",577,-1109,40.783354,-119.204497,0,2500
BRC-0239,239,Esplanade,9:56,"9:56 & Esplanade",596,-1099,40.783382,-119.204430,0,2500
BRC-0240,240,Esplanade,9:58,"9:58 & Esplanade",616,-1088,40.783411,-119.204364,0,2500
BRC-0241,241,Esplanade,10:00,"10:00 & Esplanade",634,-1077,40.783441,-119.204299,0,2500
BRC-0242,242,Afanc,2:00,"2:00 & Afanc",1465,2589,40.793513,-119.201417,2500,3450
BRC-0243,243,Afanc,2:02,"2:02 & Afanc",1420,2614,40.793583,-119.201574,2500,3450
BRC-0244,244,Afanc,2:04,"2:04 & Afanc",1374,2639,40.793650,-119.201734,2500,3450
BRC-0245,245,Afanc,2:06,"2:06 & Afanc",1327,2662,40.793714,-119.201894,2500,3450
BRC-0246,246,Afanc,2:08,"2:08 & Afanc",1281,2685,40.793777,-119.202056,2500,3450
BRC-0247,247,Afanc,2:10,"2:10 & Afanc",1234,2707,40.793837,-119.202219,2500,3450
BRC-0248,248,Afanc,2:12,"2:12 & Afanc",1186,2728,40.793895,-119.202384,2500,3450
BRC-0249,249,Afanc,2:14,"2:14 & Afanc",1138,2749,40.793951,-119.202550,2500,3450
BRC-0250,250,Afanc,2:16,"2:16 & Afanc",1090,2768,40.794004,-119.202717,2500,3450
BRC-0251,251,Afanc,2:18,"2:18 & Afanc",1042,2787,40.794055,-119.202885,2500,3450
BRC-0252,252,Afanc,2:20,"2:20 & Afanc",993,2804,40.794104,-119.203054,2500,3450
BRC-0253,253,Afanc,2:22,"2:22 & Afanc",944,2821,40.794151,-119.203225,2500,3450
BRC-0254,254,Afanc,2:24,"2:24 & Afanc",895,2837,40.794195,-119.203396,2500,3450
BRC-0255,255,Afanc,2:26,"2:26 & Afanc",845,2852,40.794237,-119.203568,2500,3450
BRC-0256,256,Afanc,2:28,"2:28 & Afanc",795,2867,40.794276,-119.203741,2500,3450
BRC-0257,257,Afanc,2:30,"2:30 & Afanc",745,2880,40.794313,-119.203915,2500,3450
BRC-0258,258,Afanc,2:32,"2:32 & Afanc",694,2893,40.794347,-119.204090,2500,3450
BRC-0259,259,Afanc,2:34,"2:34 & Afanc",644,2904,40.794379,-119.204266,2500,3450
BRC-0260,260,Afanc,2:36,"2:36 & Afanc",593,2915,40.794409,-119.204442,2500,3450
BRC-0261,261,Afanc,2:38,"2:38 & Afanc",542,2925,40.794436,-119.204619,2500,3450
